case_id,pattern_id,candidate_function,candidate_role,security_sensitive_operation,defensive_operation,source_path,expected,audit_status,verdict,detected_bug,matches_expected,missing_defenses,bug_explanation,prompt_tokens,completion_tokens,total_tokens
PAT07-R03,PAT07,get_serdev_controller,random_comparable,acpi_dev_get_first_match_dev,acpi_dev_put,drivers/platform/x86/serdev_helpers.h,unknown,completed,consistent,no,n/a,[],The function calls acpi_dev_get_first_match_dev and properly releases the reference via acpi_dev_put on all exit paths (both error and success). The resource does not escape; ctrl_adev remains local and is released before return. No bug.,1238,116,1354
PAT07-R04,PAT07,cs35l41_compute_codec_conf,random_comparable,acpi_dev_get_first_match_dev,acpi_dev_put,sound/soc/intel/boards/sof_cirrus_common.c,unknown,completed,consistent,no,n/a,[],"The function calls acpi_dev_get_first_match_dev and correctly releases the reference via acpi_dev_put on the success path. On the error path (when physdev is NULL), the function returns 0 without calling acpi_dev_put, but this is not a bug because acpi_dev_put has already been called before the check. The resource does not escape; it is properly released. No defensive handling is missing.",1184,153,1337
PAT07-R05,PAT07,snd_byt_rt5651_mc_probe,random_comparable,acpi_dev_get_first_match_dev,acpi_dev_put,sound/soc/intel/boards/bytcr_rt5651.c,unknown,completed,consistent,no,n/a,[],The function calls acpi_dev_get_first_match_dev and then correctly calls acpi_dev_put on the returned adev before any error return that could skip cleanup. The adev variable is local and does not escape; it is released before the function uses codec_dev obtained from it. No missing defense.,3374,131,3505
PAT07-R06,PAT07,bytcht_da7213_probe,random_comparable,acpi_dev_get_first_match_dev,acpi_dev_put,sound/soc/intel/boards/bytcht_da7213.c,unknown,completed,consistent,no,n/a,[],"The function calls acpi_dev_get_first_match_dev and then acpi_dev_put on the same pointer before any error return. The resource does not escape (adev is local and not returned or stored), and the cleanup is present on all paths after acquisition. No bug.",1307,121,1428
PAT07-R07,PAT07,st_es8336_late_probe,random_comparable,acpi_dev_get_first_match_dev,acpi_dev_put,sound/soc/amd/acp-es8336.c,unknown,completed,consistent,no,n/a,[],"The function calls acpi_dev_get_first_match_dev and immediately calls acpi_dev_put after using the device pointer to get the physical node. The cleanup is done correctly on the success path. On the error path where adev is NULL, the function returns early without needing cleanup. No inconsistency or missing defense is present.",1006,131,1137
PAT07-R08,PAT07,axp288_extcon_probe,random_comparable,acpi_dev_get_first_match_dev,acpi_dev_put,drivers/extcon/extcon-axp288.c,unknown,completed,consistent,no,n/a,[],The function calls acpi_dev_get_first_match_dev and immediately calls acpi_dev_put on the same adev variable before any further use. The resource does not escape; it is released correctly. No missing cleanup or inconsistent error handling is present.,1765,114,1879
PAT07-R09,PAT07,snd_byt_wm5102_mc_probe,random_comparable,acpi_dev_get_first_match_dev,acpi_dev_put,sound/soc/intel/boards/bytcr_wm5102.c,unknown,completed,consistent,no,n/a,[],"The function calls acpi_dev_get_first_match_dev and immediately calls acpi_dev_put on the same adev in the success path. In the else branch (no ACPI device found), no acpi_dev_put is needed because no reference was acquired. The function does not leak the ACPI device reference, and no other path uses adev after the put. Therefore, the defensive pattern is correctly followed.",2233,153,2386
P08,PAT08,iso_listen_bis,detected_bug,hci_get_route,hci_dev_put,net/bluetooth/iso.c,bug,completed,inconsistent,yes,yes,['hci_dev_put on error path before unlock'],"The function calls hci_get_route which returns a reference to hdev. On the error paths after hdev is acquired (e.g., when check_bcast_qos fails, hci_pa_create_sync fails, or iso_conn_add fails), the function jumps to 'unlock' without calling hci_dev_put, causing a reference leak. The hci_dev_put is only called on the success path before unlock, but missing on error paths.",1231,170,1401
PAT08-R01,PAT08,sco_sock_setsockopt,random_comparable,hci_get_route,hci_dev_put,net/bluetooth/sco.c,unknown,completed,consistent,no,n/a,[],"The function calls hci_get_route in two cases (BT_VOICE and BT_CODEC). In both cases, after a successful acquisition (non-NULL hdev), hci_dev_put is called on all paths before the function returns or breaks out of the switch. In the BT_VOICE case, hdev is released immediately after use. In the BT_CODEC case, every error path after successful acquisition includes hci_dev_put, and the normal path also releases hdev. No leak or missing cleanup is present.",1756,175,1931
PAT08-R02,PAT08,iso_conn_big_sync,random_comparable,hci_get_route,hci_dev_put,net/bluetooth/iso.c,unknown,completed,inconsistent,yes,n/a,['hci_dev_put on error path after hci_get_route success'],"hci_get_route returns a reference to hdev that must be released with hci_dev_put. In this function, hdev is obtained but never released before return, causing a reference leak. The variable hdev is local and does not escape the function, so the missing release is a bug.",949,143,1092
PAT08-R03,PAT08,sco_connect,random_comparable,hci_get_route,hci_dev_put,net/bluetooth/sco.c,unknown,completed,consistent,no,n/a,[],The function calls hci_get_route and properly releases the reference via hci_dev_put on all paths (including error paths) after the unlock label. No leak or missing cleanup is present.,1261,101,1362
PAT08-R04,PAT08,rfcomm_reparent_device,random_comparable,hci_get_route,hci_dev_put,net/bluetooth/rfcomm/tty.c,unknown,completed,consistent,no,n/a,[],"The function calls hci_get_route, which returns a reference to an hci_dev. The reference is properly released via hci_dev_put at the end of the function. The function also acquires and releases the hci_dev lock correctly. No leak or missing cleanup is present.",956,120,1076
PAT08-R05,PAT08,sco_sock_getsockopt,random_comparable,hci_get_route,hci_dev_put,net/bluetooth/sco.c,unknown,completed,inconsistent,yes,n/a,['hci_dev_put on error path after hci_get_route success'],"In the BT_CODEC case, hci_get_route is called and returns a non-NULL hdev. Later, inside the loop that iterates over local_codecs, if hdev->get_data_path_id fails or copy_to_user fails, the code breaks out of the loop without calling hci_dev_put(hdev) before returning. The function then proceeds to hci_dev_unlock and hci_dev_put only after the loop, but if err is set, the function returns err without releasing hdev. This results in a reference leak of the hci_dev structure.",2079,202,2281
PAT08-R06,PAT08,iso_connect_bis,random_comparable,hci_get_route,hci_dev_put,net/bluetooth/iso.c,unknown,completed,consistent,no,n/a,[],The function calls hci_get_route and correctly releases the reference via hci_dev_put on all exit paths (including error paths via the unlock label). No missing defensive handling.,1479,99,1578
PAT08-R07,PAT08,get_l2cap_conn,random_comparable,hci_get_route,hci_dev_put,net/bluetooth/6lowpan.c,unknown,completed,consistent,no,n/a,[],The function calls hci_get_route and then properly releases the reference with hci_dev_put after use. No leak or missing cleanup is present.,1062,94,1156
PAT08-R08,PAT08,iso_connect_cis,random_comparable,hci_get_route,hci_dev_put,net/bluetooth/iso.c,unknown,completed,consistent,no,n/a,[],The function calls hci_get_route and properly releases the reference via hci_dev_put on all paths (including error paths) after the unlock label. No leak or missing cleanup is present.,1489,102,1591
PAT08-R09,PAT08,l2cap_chan_connect,random_comparable,hci_get_route,hci_dev_put,net/bluetooth/l2cap_core.c,unknown,completed,consistent,no,n/a,[],"The function calls hci_get_route and stores the result in hdev. On every exit path (including error paths and success), hci_dev_put is called after hci_dev_unlock. The resource does not escape the function; it is released properly. No inconsistency or bug is present.",2166,125,2291
P09,PAT09,fhci_create_ep,detected_bug,cpm_muram_alloc,cpm_muram_free,drivers/usb/host/fhci-tds.c,bug,completed,inconsistent,yes,yes,['cpm_muram_free on error path'],"The function calls cpm_muram_alloc to allocate memory and stores the offset in ep_offset. On the error path (goto err), the function does not call cpm_muram_free to release this allocation before returning. This results in a memory leak of the muram resource. The variable ep_offset is local and does not escape; the error path returns -ENOMEM without freeing the muram allocation.",1503,158,1661
PAT09-R01,PAT09,cpm_uart_allocbuf,random_comparable,cpm_muram_alloc,cpm_muram_free,drivers/tty/serial/cpm_uart.c,unknown,completed,consistent,no,n/a,[],"The function calls cpm_muram_alloc and properly frees the allocated resource via cpm_muram_free on the error path when the subsequent memory allocation fails. The allocated dp_offset is stored in pinfo->dp_addr, which escapes the function (stored in a caller-provided struct), so missing local release on success is not a bug. No inconsistency found.",1386,141,1527
PAT09-R02,PAT09,cpm_i2c_setup,random_comparable,cpm_muram_alloc,cpm_muram_free,drivers/i2c/busses/i2c-cpm.c,unknown,completed,consistent,no,n/a,[],"The function calls cpm_muram_alloc for cpm->dp_addr and cpm->i2c_addr (version 2). Both allocations are properly freed on error paths: cpm_muram_free(cpm->dp_addr) in out_muram, and cpm_muram_free(cpm->i2c_addr) in out_ram for version 2. The i2c_addr for version 1 is not allocated via cpm_muram_alloc, so no free is needed. All error paths correctly release resources. No bug.",2634,181,2815
PAT09-R03,PAT09,allocate_bd,random_comparable,cpm_muram_alloc,cpm_muram_free,drivers/net/ethernet/freescale/fs_enet/mac-scc.c,unknown,completed,consistent,no,n/a,[],"The function allocates memory via cpm_muram_alloc and stores the result in fep->ring_mem_addr, which is a field of the net_device private data. This pointer escapes the function (it is stored in a caller-provided struct), so the function is not responsible for freeing it. No error path exists after successful allocation, and the function returns 0 on success. Therefore, no defensive handling is required here.",887,149,1036
PAT09-R04,PAT09,do_pd_setup,random_comparable,cpm_muram_alloc,cpm_muram_free,drivers/net/ethernet/freescale/fs_enet/mac-scc.c,unknown,completed,consistent,no,n/a,[],"The function does not call cpm_muram_alloc, so the reference pattern about cpm_muram_alloc/cpm_muram_free does not apply. The function uses irq_of_parse_and_map and of_iomap, which are paired with proper cleanup (iounmap) on error paths. No cpm_muram_alloc-related bug exists.",919,140,1059
PAT09-R05,PAT09,cpm_uart_map_pram,random_comparable,cpm_muram_alloc,cpm_muram_free,drivers/tty/serial/cpm_uart.c,unknown,completed,consistent,no,n/a,[],"The function calls cpm_muram_alloc(64, 64) and stores the result in offset. If cpm_muram_alloc fails (returns a negative error code encoded as unsigned long), the subsequent out_be16(pram, offset) and cpm_muram_addr(offset) would use an invalid offset. However, the function does not check for allocation failure. This is a potential bug because the allocation may fail, leading to use of an invalid offset. But the reference pattern expects cpm_muram_free on error paths; here, if allocation fails, the function would still return a pointer derived from the invalid offset without freeing anything. However, the function does not have an explicit error path after allocation; it directly uses the result. The missing check for allocation failure is a security-sensitive issue, but the pattern specifically mentions missing paired cleanup (cpm_muram_free). Since the allocation is not freed on any path (it is used and the pointer is returned), and the function does not release the allocated muram, the resource escapes via the return value. Therefore, missing local release is not a bug. The real issue is the lack of error checking on cpm_muram_alloc, which is not covered by the pattern's expected defensive behavior. Thus, the function is consistent with the pattern as described.",1066,338,1404
PAT09-R06,PAT09,fsl_spi_cpm_init,random_comparable,cpm_muram_alloc,cpm_muram_free,drivers/spi/spi-fsl-cpm.c,unknown,completed,consistent,no,n/a,[],"The function calls cpm_muram_alloc and properly frees the allocated resource via cpm_muram_free on the error path (err_dummy_tx label). The resource (bds_ofs) is stored in mspi->tx_bd and mspi->rx_bd, which are fields of the caller-provided struct mpc8xxx_spi, so the resource escapes the function. Therefore, missing local release on success is not a bug. All error paths correctly release acquired resources.",1951,170,2121
PAT09-R07,PAT09,fsl_spi_cpm_get_pram,random_comparable,cpm_muram_alloc,cpm_muram_free,drivers/spi/spi-fsl-cpm.c,unknown,completed,inconsistent,yes,n/a,['cpm_muram_free on error path after cpm_muram_alloc'],"In the QE dynamic path, cpm_muram_alloc is called and its return value is stored in pram_ofs. If qe_issue_cmd fails (or any subsequent error occurs), the function returns pram_ofs (which may be an error code) without calling cpm_muram_free, leaking the allocated muram. Similarly, in the SPI_CPM2 path, cpm_muram_alloc is called and pram_ofs is used, but if out_be16 fails or the function returns early, the allocated muram is not freed. The resource (pram_ofs) is not returned to the caller as a valid allocation; it is either used locally or returned as an error, so it does not escape. Therefore, missing cleanup on error paths is a bug.",1124,253,1377
PAT09-R08,PAT09,partition,random_comparable,cpm_muram_alloc,cpm_muram_free,drivers/mtd/mtdpart.c,unknown,completed,consistent,no,n/a,[],"The function does not call cpm_muram_alloc, so the reference pattern about cpm_muram_alloc/cpm_muram_free does not apply. No security-sensitive behavior from the pattern is present.",1361,107,1468
PAT09-R09,PAT09,qe_ep_bd_init,random_comparable,cpm_muram_alloc,cpm_muram_free,drivers/usb/gadget/udc/fsl_qe_udc.c,unknown,completed,inconsistent,yes,n/a,['cpm_muram_free on error path'],"The function calls cpm_muram_alloc to allocate memory for BD rings. If any subsequent operation fails (e.g., out_be16 or out_be32 accesses), the function returns without calling cpm_muram_free, causing a memory leak. The allocated address is stored in ep->rxbase and ep->txbase, which are local to the ep structure owned by the caller, but the function does not release the allocation on error before returning.",1368,167,1535
P10,PAT10,slave_show,detected_bug,device_find_any_child,put_device,drivers/spi/spi.c,bug,completed,inconsistent,yes,yes,['put_device(child) before return'],"The function calls device_find_any_child, which increments the reference count of the child device. The function then returns without calling put_device on the child, causing a reference leak. The child variable is local and does not escape the function, so the missing put_device is a bug.",832,127,959
PAT10-R01,PAT10,slave_store,random_comparable,device_find_any_child,put_device,drivers/spi/spi.c,unknown,completed,consistent,no,n/a,[],"The function calls device_find_any_child and correctly pairs it with put_device on the success path. No error path exists after the call because the only check is if child is non-NULL, and the cleanup is done immediately. The function does not leak the reference.",986,115,1101
PAT10-R02,PAT10,of_unittest_pci_node_verify,random_comparable,device_find_any_child,put_device,drivers/of/unittest.c,unknown,completed,consistent,no,n/a,[],"The function calls device_find_any_child in the else branch, which returns a device pointer with a reference taken. However, the returned child_dev is only used in a unittest assertion and is not stored or used further. The reference is not released via put_device, but since child_dev is a local variable that does not escape the function, and the function does not return an error after the call (the else branch ends without error), the missing put_device does not lead to a leak or invalid pointer use in this context. The function returns 0 after the else branch, so no error path cleanup is needed. The pattern's expected defensive behavior (put_device) is not required here because the reference is not needed beyond the assertion and the function exits normally.",1090,218,1308
PAT10-R03,PAT10,ptp_ocp_find_flash,random_comparable,device_find_any_child,put_device,drivers/ptp/ptp_ocp.c,unknown,completed,consistent,no,n/a,[],"The function correctly calls put_device on the 'last' device in each iteration and after the loop, ensuring that references obtained via device_find_any_child are released. The returned device 'dev' is not put because ownership is transferred to the caller, which is expected. No bug.",850,124,974
PAT10-R04,PAT10,gpio_mockup_debugfs_setup,random_comparable,device_find_any_child,put_device,drivers/gpio/gpio-mockup.c,unknown,completed,consistent,no,n/a,[],"The function uses device_find_any_child() and immediately declares the child pointer with __free(put_device), which ensures put_device() is called automatically when the variable goes out of scope. This satisfies the required defensive handling. No leak or missing cleanup exists.",1046,120,1166
P11,PAT11,iscsi_set_host_param,detected_bug,scsi_host_lookup,scsi_host_put,drivers/scsi/scsi_transport_iscsi.c,bug,completed,inconsistent,yes,yes,['scsi_host_put on the strlen(data) error path'],"scsi_host_lookup is called successfully, but on the error path where strlen(data) > ev->u.set_host_param.len, the function returns -EINVAL without calling scsi_host_put, causing a reference leak.",996,123,1119
PAT11-R01,PAT11,pscsi_pmode_enable_hba,random_comparable,scsi_host_lookup,scsi_host_put,drivers/target/target_core_pscsi.c,unknown,completed,consistent,no,n/a,[],"The function calls scsi_host_lookup and stores the result in phv->phv_lld_host, which escapes the function (stored in a persistent structure). Therefore, the caller is responsible for eventually calling scsi_host_put. The function itself does not need to release it on success. On the error path (scsi_host_lookup returns NULL), no resource was acquired, so no cleanup is needed. The existing scsi_host_put in the mode_flag==0 path is correct for the previously stored host. No missing defense.",1138,177,1315
PAT11-R02,PAT11,iscsi_set_chap,random_comparable,scsi_host_lookup,scsi_host_put,drivers/scsi/scsi_transport_iscsi.c,unknown,completed,consistent,no,n/a,[],"The function calls scsi_host_lookup and correctly pairs it with scsi_host_put on all paths after successful lookup. The error path for a failed lookup returns without calling scsi_host_put, but that is correct because no reference was acquired. No bug.",911,116,1027
PAT11-R03,PAT11,iscsi_send_ping,random_comparable,scsi_host_lookup,scsi_host_put,drivers/scsi/scsi_transport_iscsi.c,unknown,completed,consistent,no,n/a,[],The function calls scsi_host_lookup and then scsi_host_put on both the success and error paths (after the call to transport->send_ping). There is no missing cleanup; the reference is properly released.,1002,108,1110
PAT11-R04,PAT11,iscsi_set_flashnode_param,random_comparable,scsi_host_lookup,scsi_host_put,drivers/scsi/scsi_transport_iscsi.c,unknown,completed,consistent,no,n/a,[],"The function calls scsi_host_lookup and correctly pairs it with scsi_host_put on all error paths and the success path. The resource shost is released via scsi_host_put in the put_host label, which is reached after any failure after the lookup. No missing defensive handling.",1175,124,1299
PAT11-R05,PAT11,iscsi_logout_flashnode_sid,random_comparable,scsi_host_lookup,scsi_host_put,drivers/scsi/scsi_transport_iscsi.c,unknown,completed,consistent,no,n/a,[],"The function calls scsi_host_lookup and correctly pairs it with scsi_host_put on all exit paths (including error paths). The shost variable remains local and does not escape, so local cleanup is required and is present. No bug.",1027,116,1143
PAT11-R06,PAT11,pscsi_configure_device,random_comparable,scsi_host_lookup,scsi_host_put,drivers/target/target_core_pscsi.c,unknown,completed,consistent,no,n/a,[],"The function calls scsi_host_lookup in the PHV_VIRTUAL_HOST_ID path and stores the result in pdv->pdv_lld_host, which escapes the function (it is stored in a device structure). Therefore, the caller is responsible for eventually releasing it via scsi_host_put. On error paths after acquisition, the function correctly calls scsi_host_put before returning. No missing defensive handling is present.",1954,150,2104
PAT11-R07,PAT11,iscsi_tgt_dscvr,random_comparable,scsi_host_lookup,scsi_host_put,drivers/scsi/scsi_transport_iscsi.c,unknown,completed,consistent,no,n/a,[],The function calls scsi_host_lookup and correctly releases the reference via scsi_host_put on all paths after successful acquisition. No leak or missing cleanup is present.,974,98,1072
PAT11-R08,PAT11,iscsi_get_host_stats,random_comparable,scsi_host_lookup,scsi_host_put,drivers/scsi/scsi_transport_iscsi.c,unknown,completed,consistent,no,n/a,[],The function calls scsi_host_lookup and correctly pairs it with scsi_host_put on all exit paths (including error paths via the exit_host_stats label). No missing defensive handling.,1392,100,1492
PAT11-R09,PAT11,iscsi_logout_flashnode,random_comparable,scsi_host_lookup,scsi_host_put,drivers/scsi/scsi_transport_iscsi.c,unknown,completed,consistent,no,n/a,[],The function calls scsi_host_lookup and properly releases the reference via scsi_host_put on all exit paths (including error paths). The variable shost remains local and does not escape. No defensive handling is missing.,1155,109,1264
P12,PAT12,nforce2_fsb_read,detected_bug,pci_get_subsys,pci_dev_put,drivers/cpufreq/cpufreq-nforce2.c,bug,completed,inconsistent,yes,yes,['pci_dev_put(nforce2_sub5) before return'],"The function calls pci_get_subsys, which increments the reference count of the PCI device. The acquired device pointer nforce2_sub5 is used only locally and never returned or stored externally. However, on every return path after successful acquisition, the function fails to call pci_dev_put to release the reference, causing a memory leak. The variable remains local and does not escape, so the missing release is a bug.",1021,165,1186
PAT12-R01,PAT12,acpi_processor_errata,random_comparable,pci_get_subsys,pci_dev_put,drivers/acpi/acpi_processor.c,unknown,completed,consistent,no,n/a,[],"The function calls pci_get_subsys, which increments the reference count of the PCI device. The returned pointer is stored locally and does not escape. After using the device in acpi_processor_errata_piix4, the function correctly calls pci_dev_put to release the reference. No error path exists that would skip cleanup, as the only branch after acquisition is the if (dev) block which always calls pci_dev_put. The function returns 0 regardless, so no missing cleanup on error. The defensive pattern is fully satisfied.",866,176,1042
PAT12-R02,PAT12,acpi_processor_errata_piix4,random_comparable,pci_get_subsys,pci_dev_put,drivers/acpi/acpi_processor.c,unknown,completed,consistent,no,n/a,[],"The function calls pci_get_subsys twice, and in both cases it properly calls pci_dev_put after use. The variable 'dev' is reassigned locally and does not escape; the original parameter 'dev' is only used for reading revision and debug messages, and is not leaked. No missing cleanup or inconsistent error handling is present.",1654,138,1792
PAT12-R03,PAT12,speedstep_detect_chipset,random_comparable,pci_get_subsys,pci_dev_put,drivers/cpufreq/speedstep-ich.c,unknown,completed,consistent,no,n/a,[],"The function acquires PCI devices via pci_get_subsys and stores them in the global variable speedstep_chipset_dev. Since the device reference escapes to a global, missing local pci_dev_put is not a bug. The function does not return an error after successful acquisition; it either returns a positive value (leaving the reference in the global) or returns 0 after releasing hostbridge and clearing speedstep_chipset_dev. No leak or missing cleanup on error paths is present.",1210,165,1375
PAT12-R04,PAT12,vga_arb_device_init,random_comparable,pci_get_subsys,pci_dev_put,drivers/pci/vgaarb.c,unknown,completed,consistent,no,n/a,[],"The function calls pci_get_subsys in a loop to iterate over PCI devices. Each call returns a pci_dev with a reference count incremented. However, the reference is passed to vga_arbiter_add_pci_device, which takes ownership of the reference (as typical for such registration helpers). Therefore, the reference escapes the function and does not need to be released locally. No bug.",918,145,1063
PAT12-R05,PAT12,pci_get_device,random_comparable,pci_get_subsys,pci_dev_put,arch/x86/pci/fixup.c,unknown,completed,consistent,no,n/a,[],"The candidate function pci_get_device is called, and its return value is stored in 'other'. The code correctly calls pci_dev_put(other) on the error path when the condition is true, releasing the reference. No missing defense is present.",800,112,912
PAT12-R06,PAT12,nforce2_detect_chipset,random_comparable,pci_get_subsys,pci_dev_put,drivers/cpufreq/cpufreq-nforce2.c,unknown,completed,inconsistent,yes,n/a,['pci_dev_put(nforce2_dev) before return 0'],"The function calls pci_get_subsys, which increments the reference count of the PCI device. The returned pointer is stored in the global variable nforce2_dev, so the reference escapes the function. However, the function returns 0 on success without releasing the reference via pci_dev_put. Since nforce2_dev is a global, the reference is not leaked immediately, but the function does not properly manage the reference count: it should either release it before returning or ensure the caller will release it. The pattern expects pci_dev_put on the success path if the reference is not passed to a caller that takes ownership. Here, the reference is stored globally, but the function does not release it, leading to a reference leak on each call (if called multiple times) and inconsistent reference counting.",889,244,1133
P13,PAT13,mptspi_write_spi_device_pg1,detected_bug,scsi_device_lookup_by_target,scsi_device_put,drivers/message/fusion/mptspi.c,bug,completed,inconsistent,yes,yes,['scsi_device_put(sdev) after scsi_device_lookup_by_target'],"The function calls scsi_device_lookup_by_target() which increments the reference count of the scsi_device. However, after using sdev, the function does not call scsi_device_put() to release the reference. This can lead to a reference leak, preventing the device from being properly freed. The sdev variable is local and does not escape the function, so the missing scsi_device_put() is a bug.",1625,173,1798
PAT13-R01,PAT13,scsi_probe_and_add_lun,random_comparable,scsi_device_lookup_by_target,scsi_device_put,drivers/scsi/scsi_scan.c,unknown,completed,consistent,no,n/a,[],"The function calls scsi_device_lookup_by_target and properly handles the reference: if the device is found and not needed, it calls scsi_device_put; if it is returned via sdevp, the reference is transferred to the caller (via scsi_device_get). On error paths, the acquired sdev (either looked up or allocated) is properly released via __scsi_remove_device or scsi_device_put. No missing scsi_device_put or leak is present.",2114,165,2279
PAT13-R02,PAT13,ahd_dump_target_state,random_comparable,scsi_device_lookup_by_target,scsi_device_put,drivers/scsi/aic7xxx/aic79xx_proc.c,unknown,completed,inconsistent,yes,n/a,['scsi_device_put'],The function calls scsi_device_lookup_by_target which returns a reference to a scsi_device. The reference is used but never released via scsi_device_put. This causes a reference leak on every iteration of the loop where a device is found.,1040,121,1161
PAT13-R03,PAT13,ahc_dump_target_state,random_comparable,scsi_device_lookup_by_target,scsi_device_put,drivers/scsi/aic7xxx/aic7xxx_proc.c,unknown,completed,inconsistent,yes,n/a,['scsi_device_put after scsi_device_lookup_by_target'],"The function calls scsi_device_lookup_by_target which returns a pointer with an elevated reference count. The returned sdev is used in ahc_dump_device_state but never released via scsi_device_put. Since sdev remains local and does not escape the function, this leaks a reference on each iteration where sdev is non-NULL.",1078,148,1226
PAT13-R04,PAT13,completed,random_comparable,scsi_device_lookup_by_target,scsi_device_put,fs/fuse/file.c,unknown,completed,consistent,no,n/a,[],"The function does not call scsi_device_lookup_by_target or any SCSI device lookup, so the reference pattern does not apply. No scsi_device_put is needed.",1175,99,1274
P14,PAT14,mt798x_phy_calibration,detected_bug,nvmem_cell_get,nvmem_cell_put,drivers/net/phy/mediatek-ge-soc.c,bug,completed,inconsistent,yes,yes,['nvmem_cell_put on error path after nvmem_cell_read failure'],"When nvmem_cell_read returns an error (IS_ERR(buf) true), the function returns PTR_ERR(buf) without calling nvmem_cell_put(cell), causing a resource leak. The cell is acquired successfully but not released on this error path.",1156,141,1297
PAT14-R01,PAT14,nvmem_cell_read_variable_common,random_comparable,nvmem_cell_get,nvmem_cell_put,drivers/nvmem/core.c,unknown,completed,consistent,no,n/a,[],"The function acquires an nvmem_cell via nvmem_cell_get() and correctly releases it with nvmem_cell_put() after reading. The release occurs before any error return (e.g., IS_ERR(buf) check) and before the final return. No leak or missing cleanup is present.",965,131,1096
PAT14-R02,PAT14,rave_sp_wdt_probe,random_comparable,nvmem_cell_get,nvmem_cell_put,drivers/watchdog/rave-sp-wdt.c,unknown,completed,consistent,no,n/a,[],"The function calls nvmem_cell_get and correctly pairs it with nvmem_cell_put on the success path after reading the cell. On error paths (e.g., if nvmem_cell_read fails), the cell is still released because nvmem_cell_put is called unconditionally after the if block. No leak or missing cleanup is present.",1348,140,1488
PAT14-R03,PAT14,sc27xx_fgu_calibration,random_comparable,nvmem_cell_get,nvmem_cell_put,drivers/power/supply/sc27xx_fuel_gauge.c,unknown,completed,consistent,no,n/a,[],"The function calls nvmem_cell_get and correctly releases the cell with nvmem_cell_put immediately after reading, before any error checks. The buffer allocated by nvmem_cell_read is freed with kfree on the success path. On the error path where buf is an error pointer, kfree is not called, which is correct because the buffer was never successfully allocated. No defensive handling is missing.",1061,150,1211
PAT14-R04,PAT14,__updated_type_c_parameter_by_efuse,random_comparable,nvmem_cell_get,nvmem_cell_put,drivers/extcon/extcon-rtk-type-c.c,unknown,completed,consistent,no,n/a,[],"The function calls nvmem_cell_get and nvmem_cell_put in the same else branch, ensuring the cell is released after use. The nvmem_cell_read buffer is freed with kfree. No leak or missing cleanup is present.",2256,119,2375
PAT14-R05,PAT14,nixge_get_nvmem_address,random_comparable,nvmem_cell_get,nvmem_cell_put,drivers/net/ethernet/ni/nixge.c,unknown,completed,consistent,no,n/a,[],"The function acquires an nvmem cell via nvmem_cell_get, reads it, and then releases it with nvmem_cell_put before returning. The cleanup is present on the success path. On the error path (IS_ERR(cell)), the function returns the error pointer without acquiring the cell, so no release is needed. No bug.",840,139,979
PAT14-R06,PAT14,sun8i_ths_calibrate,random_comparable,nvmem_cell_get,nvmem_cell_put,drivers/thermal/sun8i_thermal.c,unknown,completed,consistent,no,n/a,[],The function acquires an nvmem_cell via nvmem_cell_get and releases it via nvmem_cell_put on all exit paths (including error paths). The caldata buffer is freed via kfree after use. No leak or missing cleanup is present.,1101,122,1223
PAT14-R07,PAT14,adc_nvmem_cell_calib_data,random_comparable,nvmem_cell_get,nvmem_cell_put,drivers/iio/adc/sc27xx_adc.c,unknown,completed,consistent,no,n/a,[],"The function correctly acquires an nvmem_cell via nvmem_cell_get, reads it, and releases both the read buffer (kfree) and the cell (nvmem_cell_put) on all paths, including error paths. No inconsistency or missing defense is present.",952,126,1078
PAT14-R08,PAT14,imx8mm_tmu_probe_set_calib_v2,random_comparable,nvmem_cell_get,nvmem_cell_put,drivers/thermal/imx8mm_thermal.c,unknown,completed,consistent,no,n/a,[],"The function correctly calls nvmem_cell_put immediately after nvmem_cell_read, before any error checks or returns. The nvmem_cell resource does not escape; it is released locally. No missing cleanup or inconsistent handling is present.",1639,123,1762
PAT14-R09,PAT14,ERR_PTR,random_comparable,nvmem_cell_get,nvmem_cell_put,mm/util.c,unknown,completed,consistent,no,n/a,[],"The function does not call nvmem_cell_get, so the reference pattern does not apply. No nvmem-related resource management is present.",878,90,968
P15,PAT15,loongson_card_parse_acpi,detected_bug,acpi_get_first_physical_node,put_device,sound/soc/loongson/loongson_card.c,bug,completed,inconsistent,yes,yes,['put_device(phy_dev) on error path or before return'],"The function calls acpi_get_first_physical_node(adev) which returns a device pointer with a reference taken. The returned phy_dev is used locally (its name is assigned to platform names) and then the function returns without calling put_device(phy_dev). This leaks the reference. The variable phy_dev does not escape the function (it is not returned, stored in caller-provided struct, or passed to a framework that takes ownership), so the missing put_device is a bug.",1259,179,1438
